datum,period,barometerindikator
1996-01-01,1996M01,
1996-02-01,1996M02,
1996-03-01,1996M03,
1996-04-01,1996M04,
1996-05-01,1996M05,
1996-06-01,1996M06,
1996-07-01,1996M07,86.3
1996-08-01,1996M08,88.3
1996-09-01,1996M09,89.4
1996-10-01,1996M10,91.7
1996-11-01,1996M11,92.3
1996-12-01,1996M12,91.8
1997-01-01,1997M01,94.0
1997-02-01,1997M02,94.1
1997-03-01,1997M03,96.6
1997-04-01,1997M04,96.9
1997-05-01,1997M05,95.6
1997-06-01,1997M06,96.8
1997-07-01,1997M07,99.1
1997-08-01,1997M08,99.5
1997-09-01,1997M09,102.6
1997-10-01,1997M10,104.8
1997-11-01,1997M11,104.4
1997-12-01,1997M12,105.6
1998-01-01,1998M01,106.9
1998-02-01,1998M02,104.7
1998-03-01,1998M03,104.9
1998-04-01,1998M04,103.1
1998-05-01,1998M05,105.2
1998-06-01,1998M06,106.6
1998-07-01,1998M07,105.6
1998-08-01,1998M08,101.5
1998-09-01,1998M09,101.2
1998-10-01,1998M10,100.1
1998-11-01,1998M11,98.8
1998-12-01,1998M12,97.2
1999-01-01,1999M01,95.3
1999-02-01,1999M02,95.4
1999-03-01,1999M03,95.3
1999-04-01,1999M04,96.7
1999-05-01,1999M05,101.9
1999-06-01,1999M06,103.3
1999-07-01,1999M07,103.3
1999-08-01,1999M08,106.7
1999-09-01,1999M09,108.1
1999-10-01,1999M10,106.7
1999-11-01,1999M11,108.5
1999-12-01,1999M12,110.3
2000-01-01,2000M01,111.9
2000-02-01,2000M02,113.1
2000-03-01,2000M03,115.1
2000-04-01,2000M04,114.8
2000-05-01,2000M05,113.6
2000-06-01,2000M06,113.6
2000-07-01,2000M07,114.5
2000-08-01,2000M08,113.3
2000-09-01,2000M09,110.7
2000-10-01,2000M10,110.7
2000-11-01,2000M11,109.2
2000-12-01,2000M12,104.3
2001-01-01,2001M01,100.7
2001-02-01,2001M02,97.2
2001-03-01,2001M03,95.0
2001-04-01,2001M04,93.4
2001-05-01,2001M05,90.8
2001-06-01,2001M06,88.4
2001-07-01,2001M07,84.3
2001-08-01,2001M08,84.5
2001-09-01,2001M09,86.0
2001-10-01,2001M10,86.0
2001-11-01,2001M11,88.3
2001-12-01,2001M12,90.2
2002-01-01,2002M01,91.3
2002-02-01,2002M02,91.4
2002-03-01,2002M03,94.4
2002-04-01,2002M04,93.9
2002-05-01,2002M05,91.8
2002-06-01,2002M06,95.5
2002-07-01,2002M07,93.1
2002-08-01,2002M08,91.1
2002-09-01,2002M09,92.2
2002-10-01,2002M10,87.6
2002-11-01,2002M11,89.1
2002-12-01,2002M12,90.9
2003-01-01,2003M01,88.5
2003-02-01,2003M02,94.5
2003-03-01,2003M03,91.4
2003-04-01,2003M04,87.8
2003-05-01,2003M05,89.9
2003-06-01,2003M06,86.8
2003-07-01,2003M07,85.8
2003-08-01,2003M08,89.0
2003-09-01,2003M09,89.7
2003-10-01,2003M10,90.5
2003-11-01,2003M11,89.9
2003-12-01,2003M12,93.7
2004-01-01,2004M01,93.3
2004-02-01,2004M02,95.4
2004-03-01,2004M03,95.5
2004-04-01,2004M04,98.9
2004-05-01,2004M05,100.2
2004-06-01,2004M06,101.6
2004-07-01,2004M07,101.9
2004-08-01,2004M08,104.6
2004-09-01,2004M09,107.3
2004-10-01,2004M10,103.8
2004-11-01,2004M11,103.9
2004-12-01,2004M12,102.1
2005-01-01,2005M01,104.8
2005-02-01,2005M02,103.3
2005-03-01,2005M03,102.6
2005-04-01,2005M04,98.7
2005-05-01,2005M05,98.5
2005-06-01,2005M06,100.8
2005-07-01,2005M07,99.2
2005-08-01,2005M08,100.2
2005-09-01,2005M09,102.3
2005-10-01,2005M10,104.2
2005-11-01,2005M11,104.8
2005-12-01,2005M12,106.3
2006-01-01,2006M01,109.3
2006-02-01,2006M02,110.3
2006-03-01,2006M03,108.0
2006-04-01,2006M04,108.6
2006-05-01,2006M05,107.9
2006-06-01,2006M06,108.8
2006-07-01,2006M07,106.4
2006-08-01,2006M08,107.7
2006-09-01,2006M09,108.7
2006-10-01,2006M10,110.3
2006-11-01,2006M11,112.4
2006-12-01,2006M12,110.7
2007-01-01,2007M01,110.8
2007-02-01,2007M02,111.4
2007-03-01,2007M03,110.9
2007-04-01,2007M04,114.8
2007-05-01,2007M05,112.6
2007-06-01,2007M06,113.6
2007-07-01,2007M07,113.2
2007-08-01,2007M08,110.5
2007-09-01,2007M09,107.5
2007-10-01,2007M10,108.7
2007-11-01,2007M11,107.5
2007-12-01,2007M12,107.6
2008-01-01,2008M01,103.7
2008-02-01,2008M02,101.3
2008-03-01,2008M03,103.6
2008-04-01,2008M04,102.9
2008-05-01,2008M05,96.8
2008-06-01,2008M06,94.3
2008-07-01,2008M07,89.6
2008-08-01,2008M08,87.5
2008-09-01,2008M09,88.7
2008-10-01,2008M10,82.7
2008-11-01,2008M11,74.4
2008-12-01,2008M12,71.3
2009-01-01,2009M01,73.3
2009-02-01,2009M02,72.6
2009-03-01,2009M03,68.8
2009-04-01,2009M04,69.0
2009-05-01,2009M05,74.0
2009-06-01,2009M06,75.9
2009-07-01,2009M07,83.1
2009-08-01,2009M08,86.7
2009-09-01,2009M09,88.2
2009-10-01,2009M10,93.9
2009-11-01,2009M11,96.7
2009-12-01,2009M12,102.1
2010-01-01,2010M01,102.2
2010-02-01,2010M02,105.8
2010-03-01,2010M03,104.6
2010-04-01,2010M04,103.5
2010-05-01,2010M05,108.8
2010-06-01,2010M06,110.6
2010-07-01,2010M07,109.8
2010-08-01,2010M08,110.9
2010-09-01,2010M09,115.8
2010-10-01,2010M10,113.6
2010-11-01,2010M11,116.6
2010-12-01,2010M12,114.4
2011-01-01,2011M01,116.1
2011-02-01,2011M02,116.2
2011-03-01,2011M03,112.4
2011-04-01,2011M04,109.3
2011-05-01,2011M05,110.8
2011-06-01,2011M06,108.5
2011-07-01,2011M07,102.7
2011-08-01,2011M08,98.6
2011-09-01,2011M09,96.6
2011-10-01,2011M10,96.0
2011-11-01,2011M11,94.9
2011-12-01,2011M12,93.7
2012-01-01,2012M01,90.7
2012-02-01,2012M02,91.9
2012-03-01,2012M03,99.5
2012-04-01,2012M04,100.7
2012-05-01,2012M05,99.1
2012-06-01,2012M06,96.4
2012-07-01,2012M07,94.6
2012-08-01,2012M08,94.7
2012-09-01,2012M09,95.0
2012-10-01,2012M10,90.9
2012-11-01,2012M11,85.3
2012-12-01,2012M12,87.2
2013-01-01,2013M01,87.3
2013-02-01,2013M02,92.9
2013-03-01,2013M03,94.2
2013-04-01,2013M04,92.8
2013-05-01,2013M05,92.7
2013-06-01,2013M06,95.5
2013-07-01,2013M07,97.1
2013-08-01,2013M08,97.9
2013-09-01,2013M09,99.1
2013-10-01,2013M10,99.8
2013-11-01,2013M11,102.7
2013-12-01,2013M12,102.5
2014-01-01,2014M01,103.8
2014-02-01,2014M02,101.4
2014-03-01,2014M03,101.3
2014-04-01,2014M04,103.2
2014-05-01,2014M05,100.6
2014-06-01,2014M06,102.4
2014-07-01,2014M07,102.3
2014-08-01,2014M08,103.8
2014-09-01,2014M09,102.1
2014-10-01,2014M10,102.6
2014-11-01,2014M11,101.7
2014-12-01,2014M12,102.2
2015-01-01,2015M01,101.9
2015-02-01,2015M02,101.8
2015-03-01,2015M03,101.1
2015-04-01,2015M04,99.7
2015-05-01,2015M05,103.3
2015-06-01,2015M06,102.9
2015-07-01,2015M07,103.8
2015-08-01,2015M08,105.3
2015-09-01,2015M09,106.8
2015-10-01,2015M10,106.3
2015-11-01,2015M11,104.6
2015-12-01,2015M12,106.0
2016-01-01,2016M01,108.5
2016-02-01,2016M02,105.9
2016-03-01,2016M03,105.7
2016-04-01,2016M04,103.4
2016-05-01,2016M05,102.9
2016-06-01,2016M06,103.3
2016-07-01,2016M07,102.9
2016-08-01,2016M08,101.6
2016-09-01,2016M09,104.2
2016-10-01,2016M10,105.2
2016-11-01,2016M11,107.3
2016-12-01,2016M12,111.0
2017-01-01,2017M01,109.7
2017-02-01,2017M02,109.6
2017-03-01,2017M03,108.7
2017-04-01,2017M04,111.6
2017-05-01,2017M05,112.5
2017-06-01,2017M06,112.5
2017-07-01,2017M07,111.8
2017-08-01,2017M08,110.2
2017-09-01,2017M09,113.2
2017-10-01,2017M10,112.1
2017-11-01,2017M11,112.5
2017-12-01,2017M12,110.5
2018-01-01,2018M01,109.4
2018-02-01,2018M02,109.7
2018-03-01,2018M03,110.0
2018-04-01,2018M04,111.3
2018-05-01,2018M05,111.1
2018-06-01,2018M06,111.1
2018-07-01,2018M07,110.8
2018-08-01,2018M08,111.3
2018-09-01,2018M09,110.7
2018-10-01,2018M10,107.4
2018-11-01,2018M11,106.2
2018-12-01,2018M12,106.4
2019-01-01,2019M01,102.1
2019-02-01,2019M02,103.3
2019-03-01,2019M03,103.4
2019-04-01,2019M04,105.1
2019-05-01,2019M05,102.0
2019-06-01,2019M06,101.2
2019-07-01,2019M07,98.5
2019-08-01,2019M08,95.7
2019-09-01,2019M09,94.0
2019-10-01,2019M10,93.8
2019-11-01,2019M11,94.8
2019-12-01,2019M12,93.9
2020-01-01,2020M01,97.4
2020-02-01,2020M02,99.3
2020-03-01,2020M03,94.1
2020-04-01,2020M04,60.7
2020-05-01,2020M05,63.9
2020-06-01,2020M06,75.6
2020-07-01,2020M07,84.6
2020-08-01,2020M08,87.7
2020-09-01,2020M09,94.8
2020-10-01,2020M10,95.7
2020-11-01,2020M11,97.8
2020-12-01,2020M12,97.0
2021-01-01,2021M01,102.8
2021-02-01,2021M02,104.7
2021-03-01,2021M03,106.0
2021-04-01,2021M04,112.9
2021-05-01,2021M05,117.2
2021-06-01,2021M06,117.5
2021-07-01,2021M07,121.3
2021-08-01,2021M08,120.4
2021-09-01,2021M09,120.3
2021-10-01,2021M10,122.8
2021-11-01,2021M11,121.0
2021-12-01,2021M12,120.6
2022-01-01,2022M01,114.7
2022-02-01,2022M02,115.8
2022-03-01,2022M03,113.3
2022-04-01,2022M04,111.1
2022-05-01,2022M05,110.8
2022-06-01,2022M06,105.5
2022-07-01,2022M07,103.7
2022-08-01,2022M08,99.7
2022-09-01,2022M09,95.1
2022-10-01,2022M10,90.3
2022-11-01,2022M11,89.7
2022-12-01,2022M12,89.4
2023-01-01,2023M01,86.9
2023-02-01,2023M02,88.7
2023-03-01,2023M03,89.2
2023-04-01,2023M04,86.6
2023-05-01,2023M05,88.9
2023-06-01,2023M06,88.9
2023-07-01,2023M07,87.3
2023-08-01,2023M08,85.6
2023-09-01,2023M09,87.2
2023-10-01,2023M10,87.1
2023-11-01,2023M11,86.2
2023-12-01,2023M12,84.8
2024-01-01,2024M01,90.2
2024-02-01,2024M02,90.7
2024-03-01,2024M03,92.7
2024-04-01,2024M04,94.2
2024-05-01,2024M05,93.8
2024-06-01,2024M06,96.2
2024-07-01,2024M07,94.9
2024-08-01,2024M08,94.5
2024-09-01,2024M09,94.8
2024-10-01,2024M10,93.8
2024-11-01,2024M11,96.8
2024-12-01,2024M12,96.0
